method.full,method,food,food2,process,compound,mean.rf,refs
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Baked,Caffeic acid,8.134764342,Xu 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Kale, raw",Kale*,Blanched,Caffeic acid,0.578911877,Korus 2012
1 - Chromatography,Chrom,"Potato, raw",Potato,Boiled,Caffeic acid,0.475481963,Andlauer 2003
1 - Chromatography,Chrom,"Common bean [Black], whole, raw",Black bean,Boiled,Caffeic acid,1.156963347,Baojun 2009
1 - Chromatography,Chrom,"Eggplant [Purple], peeled, raw",Eggplant,Boiled,Caffeic acid,2.861335187,Lo Scalzo 2010
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Boiled,Caffeic acid,0.148259571,Xu 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Common bean [Others], whole, raw",Bean (other)*,Boiled,Caffeic acid,0.238848595,Baojun 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Kale, raw",Kale*,Boiled,Caffeic acid,0.285796809,Korus 2012
2 - Chromatography after hydrolysis,Chrom hydrol,"Cauliflower, raw",Cauliflower*,Boiled,Caffeic acid,0.608479559,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Carrot, raw",Carrot*,Boiled,Caffeic acid,0.141713457,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Broccoli, raw",Broccoli*,Boiled,Caffeic acid,1.149642838,Miglio 2008
2 - Chromatography after hydrolysis,Chrom hydrol,"Zucchini, raw",Zucchini*,Boiled,Caffeic acid,0.280100257,Miglio 2008
1 - Chromatography,Chrom,"Tomato, whole, raw",Tomato,Canned,Caffeic acid,0.604166701,Vallverdu queralt 2011_2
2 - Chromatography after hydrolysis,Chrom hydrol,Tangerine,Tangerine*,Canned,Caffeic acid,0.543617048,Zhang 2011 (Fengmei 2011)
2 - Chromatography after hydrolysis,Chrom hydrol,"Carrot, raw",Carrot*,Fried,Caffeic acid,1.220833361,Miglio 2008
2 - Chromatography after hydrolysis,Chrom hydrol,"Broccoli, raw",Broccoli*,Fried,Caffeic acid,0.830357194,Miglio 2008
2 - Chromatography after hydrolysis,Chrom hydrol,"Zucchini, raw",Zucchini*,Fried,Caffeic acid,0.390375972,Miglio 2008
1 - Chromatography,Chrom,"Eggplant [Purple], peeled, raw",Eggplant,Grilled,Caffeic acid,1.197159195,Lo Scalzo 2010
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Microwaved,Caffeic acid,6.087079441,Xu 2009
1 - Chromatography,Chrom,"Common bean [Black], whole, raw",Black bean,Pressure-boiled,Caffeic acid,0.257298159,Baojun 2009
1 - Chromatography,Chrom,"Globe artichoke, heads, raw",Globe artichoke,Pressure-boiled,Caffeic acid,2.248745095,Lutz 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Common bean [Others], whole, raw",Bean (other)*,Pressure-boiled,Caffeic acid,0.313144522,Baojun 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Common bean [Others], whole, raw",Bean (other)*,Pressure-steamed,Caffeic acid,0.256400237,Baojun 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Common bean [Others], whole, raw",Bean (other)*,Steamed,Caffeic acid,0.335392923,Baojun 2009
2 - Chromatography after hydrolysis,Chrom hydrol,"Cauliflower, raw",Cauliflower*,Steamed,Caffeic acid,1.042128372,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Carrot, raw",Carrot*,Steamed,Caffeic acid,0.898279976,"Mazzeo, Miglio"
2 - Chromatography after hydrolysis,Chrom hydrol,"Broccoli, raw",Broccoli*,Steamed,Caffeic acid,1.04,Miglio 2008
2 - Chromatography after hydrolysis,Chrom hydrol,"Zucchini, raw",Zucchini*,Steamed,Caffeic acid,0.602105274,Miglio 2008
